repo,pr_a,pr_b,status,sha_a,sha_b,merge_base,conflict,n_conflict_files,conflict_files,n_shared_src,cross_agent,secs,note
mochilang/mochi,1911,1930,clean,52a72e8b59b0dc39da821b4733cf37bb1623f219,59645d7d2e0682096c53847e6a4810f8d576b869,ef1b4b6d2b809128f53fd4fda3ec1b79be6b57a5,False,0,,1,False,0.23,
mochilang/mochi,1997,1998,clean,61fe58c6622a7fe5b8756bfcb58def7aa668ca59,c7bec21b5e010deb7240dd33c97af85f1e8d282c,23aad9c714949129f98a5dbaa30e89f9c267973e,False,0,,9,False,0.01,
mochilang/mochi,2010,2016,clean,6de0dcbacdcc0733c3554e5a21021976919479a2,72d85c7ce5997a1a8970d9ad61c34f1b94913ed1,54f1fbf513dec7328b8465374b7942d55917b168,False,0,,1,False,0.24,
mochilang/mochi,2613,2615,clean,e5cfa9c1463f1b5b658802a7d75d4e375906e0d6,f900fdbb34026754c89f5d451dc9690aefa9411f,2106b7a8795eaab6e12f405a4258bc1f9dc04350,False,0,,1,False,0.23,
mochilang/mochi,2760,2761,clean,a90d2e5a0b27284ff2cd791704fcf0a548369e1e,b05438992b837393ae566dc191ad77635f76c172,f7e30c552dc76f41a1c7cf74d94b9293ca38e441,False,0,,1,False,0.25,
mochilang/mochi,2764,2765,clean,5699f56e0eed617e24f5174c78417b68650dffe0,f44f5f3f4bca8a71d10520ad43e08d002ac6f957,b6446f7a27ff3bbe3e1fa06d5848408e3f7c3a4a,False,0,,1,False,0.22,
mochilang/mochi,2851,2852,clean,fad1eed453de4fb1e0e1c167948e73b49e515a56,812d097f713211030cbc47b70d0b29f29dbb1edb,25467cd3d4b43834f4638d74f539462d2d580991,False,0,,1,False,0.23,
mochilang/mochi,2826,2854,clean,6b3a765cc763db52cf423291f592acb08031c98f,db88d4a8e1fc6f0d8c36773472047cc49a68619c,c29f8d542598d0cc3f5452f26526a785c952ef42,False,0,,1,False,0.23,
mochilang/mochi,2887,2892,clean,d249169af5060fe4ba99c3705160b9df08705e34,4785965410d3180a82318e00fbdf67e8a8e679e8,090b6a80ac2d5e7132233b922d82b40020672176,False,0,,1,False,0.27,
mochilang/mochi,2887,2901,clean,d249169af5060fe4ba99c3705160b9df08705e34,4acdbb76ba4a80b53777a4521497584bced175dc,090b6a80ac2d5e7132233b922d82b40020672176,False,0,,1,False,0.24,
